Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,392,0,370.0,355.49375362264686,2.102708000165876,637.844541000959,38.910714285714285,8.8827980268233,0.0,370,400,420,440,480,510,530,540,640,640,640
POST,/predict,1244,0,350.0,340.4491235514534,37.464374996488914,591.636125005607,142.0,28.189287615735168,0.0,350,390,410,420,450,490,510,540,590,590,590
,Aggregated,1636,0,350.0,344.0539493386833,2.102708000165876,637.844541000959,117.29889975550122,37.07208564255847,0.0,350,390,410,430,460,490,520,540,590,640,640
