Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/health,759,0,4,28.280661010656726,1.0168750013690442,299.59483400307363,38.333333333333336,17.201483543293108,0.0,4,26,41,53,80,110,150,220,300,300,300
POST,/predict,2192,0,49,63.9137453713839,37.92512500513112,284.4723329981207,142.0,49.67806577983991,0.0,49,64,75,81,100,130,170,210,270,280,280
,Aggregated,2951,0,46,54.74888226403319,1.0168750013690442,299.59483400307363,115.33683497119621,66.87954932313302,0.0,46,58,70,77,99,130,170,210,280,300,300
