Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785197487,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785197488,5,GET,/health,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,6,0,10,11.394152668799507,3.0664580044685863,17.90662500570761,38.333333333333336
1785197488,5,POST,/predict,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,10,0,55,63.982737798505696,40.31916699750582,98.63445899827639,142.0
1785197488,5,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,16,0,43,44.262018374865875,3.0664580044685863,98.63445899827639,103.125
1785197489,10,GET,/health,0.000000,0.000000,3,5,12,12,44,44,44,44,44,44,44,14,0,5,10.079982000336583,2.1780829993076622,43.60137500043493,38.214285714285715
1785197489,10,POST,/predict,0.000000,0.000000,49,52,53,55,63,85,90,90,90,90,90,34,0,49,54.490459617013315,39.18612499546725,98.63445899827639,142.0
1785197489,10,,Aggregated,0.000000,0.000000,44,50,52,53,56,85,90,90,90,90,90,48,0,44,41.537403645482605,2.1780829993076622,98.63445899827639,111.72916666666667
1785197490,15,GET,/health,6.000000,0.000000,3,3,5,10,12,44,44,44,44,44,44,19,0,3,8.453238894856584,1.5347919979831204,43.60137500043493,38.26315789473684
1785197490,15,POST,/predict,8.000000,0.000000,48,55,58,60,73,90,120,130,130,130,130,71,0,49,55.25165321098388,37.92512500513112,125.08404199616052,142.0
1785197490,15,,Aggregated,14.000000,0.000000,44,51,56,58,73,90,120,130,130,130,130,90,0,43,45.37198796646812,1.5347919979831204,125.08404199616052,120.1
1785197491,20,GET,/health,6.500000,0.000000,3,10,29,31,37,44,89,89,89,89,89,30,0,3,13.389530466520227,1.5347919979831204,89.08679200249026,38.233333333333334
1785197491,20,POST,/predict,16.500000,0.000000,48,53,59,66,80,90,120,130,150,150,150,116,0,48,55.12006537010793,37.92512500513112,145.34808399912436,142.0
1785197491,20,,Aggregated,23.000000,0.000000,44,51,57,59,74,89,120,130,150,150,150,146,0,43,46.54529792416525,1.5347919979831204,145.34808399912436,120.67808219178082
1785197492,25,GET,/health,6.000000,0.000000,3,10,31,37,48,89,130,130,130,130,130,40,0,3,17.451644699758617,1.5347919979831204,127.18104200030211,38.15
1785197492,25,POST,/predict,22.666667,0.000000,49,57,66,74,110,140,200,240,240,240,240,170,0,49,63.25238234087866,37.92512500513112,237.561290996382,142.0
1785197492,25,,Aggregated,28.666667,0.000000,45,55,64,70,99,130,200,240,240,240,240,210,0,45,54.52843231399865,1.5347919979831204,237.561290996382,122.21904761904761
1785197493,25,GET,/health,7.500000,0.000000,3,5,16,31,47,65,89,130,130,130,130,64,0,3,14.58273820287559,1.1021250029443763,127.18104200030211,38.15625
1785197493,25,POST,/predict,28.250000,0.000000,50,58,66,74,99,130,190,220,240,240,240,221,0,50,62.32565174194535,37.92512500513112,237.561290996382,142.0
1785197493,25,,Aggregated,35.750000,0.000000,45,54,62,67,90,120,170,220,240,240,240,285,0,45,51.6044360700139,1.1021250029443763,237.561290996382,118.68070175438596
1785197494,25,GET,/health,8.000000,0.000000,3,5,29,33,48,89,110,130,130,130,130,81,0,3,16.23475199987836,1.1021250029443763,127.18104200030211,38.135802469135804
1785197494,25,POST,/predict,32.800000,0.000000,49,57,66,75,98,120,170,220,240,240,240,273,0,49,61.51947341738341,37.92512500513112,237.561290996382,142.0
